{'rand': 0.289172887802124, 'plus': 0.16169023513793945}
{'rand': 0.15227365493774414, 'plus': 0.18698930740356445}
{'rand': 0.17360353469848633, 'plus': 0.1423473358154297}
{'rand': 0.1334235668182373, 'plus': 0.20236897468566895}
{'rand': 0.08878374099731445, 'plus': 0.13689661026000977}
{'rand': 0.3382728099822998, 'plus': 0.21377277374267578}
{'rand': 0.19691085815429688, 'plus': 0.18699169158935547}
{'rand': 0.15624094009399414, 'plus': 0.2117912769317627}
{'rand': 0.18947172164916992, 'plus': 0.11407947540283203}
{'rand': 0.19046425819396973, 'plus': 0.15425682067871094}
{'rand': 0.21129631996154785, 'plus': 0.17409515380859375}
{'rand': 0.11259222030639648, 'plus': 0.1324310302734375}
{'rand': 0.09820938110351562, 'plus': 0.14483070373535156}
{'rand': 0.17956042289733887, 'plus': 0.2162473201751709}
{'rand': 0.16020798683166504, 'plus': 0.163679838180542}
{'rand': 0.13193583488464355, 'plus': 0.1304481029510498}
{'rand': 0.17955279350280762, 'plus': 0.15375876426696777}
{'rand': 0.11755228042602539, 'plus': 0.14185690879821777}
{'rand': 0.1696319580078125, 'plus': 0.1616959571838379}
{'rand': 0.13392019271850586, 'plus': 0.13590359687805176}
{'rand': 0.14185667037963867, 'plus': 0.14433526992797852}
{'rand': 0.13193559646606445, 'plus': 0.18947458267211914}
{'rand': 0.17112016677856445, 'plus': 0.14780831336975098}
{'rand': 0.14483165740966797, 'plus': 0.1324319839477539}
{'rand': 0.20236849784851074, 'plus': 0.1393742561340332}
{'rand': 0.13590455055236816, 'plus': 0.16020822525024414}
{'rand': 0.15177559852600098, 'plus': 0.14532780647277832}
{'rand': 0.16169404983520508, 'plus': 0.1626882553100586}
{'rand': 0.13739275932312012, 'plus': 0.16219067573547363}
