{'rand': 0.2618868350982666, 'plus': 0.1647021770477295}
{'rand': 0.3194234371185303, 'plus': 0.3179354667663574}
{'rand': 0.14830350875854492, 'plus': 0.1780986785888672}
{'rand': 0.19740724563598633, 'plus': 0.30454301834106445}
{'rand': 0.19248533248901367, 'plus': 0.17756104469299316}
{'rand': 0.14979052543640137, 'plus': 0.19840049743652344}
{'rand': 0.17115569114685059, 'plus': 0.19691228866577148}
{'rand': 0.14532780647277832, 'plus': 0.20339226722717285}
{'rand': 0.17608022689819336, 'plus': 0.18947196006774902}
{'rand': 0.17508912086486816, 'plus': 0.15425419807434082}
{'rand': 0.15429210662841797, 'plus': 0.18844294548034668}
{'rand': 0.16023850440979004, 'plus': 0.18993568420410156}
{'rand': 0.1488020420074463, 'plus': 0.20633506774902344}
{'rand': 0.1716151237487793, 'plus': 0.2048497200012207}
{'rand': 0.14235138893127441, 'plus': 0.17310404777526855}
{'rand': 0.15326333045959473, 'plus': 0.18600058555603027}
{'rand': 0.17261004447937012, 'plus': 0.18900632858276367}
{'rand': 0.16318416595458984, 'plus': 0.19691133499145508}
{'rand': 0.19050192832946777, 'plus': 0.205338716506958}
{'rand': 0.15128087997436523, 'plus': 0.2157905101776123}
{'rand': 0.2177441120147705, 'plus': 0.24651002883911133}
{'rand': 0.2068638801574707, 'plus': 0.2276308536529541}
{'rand': 0.17905545234680176, 'plus': 0.24158430099487305}
{'rand': 0.28569626808166504, 'plus': 0.23612737655639648}
{'rand': 0.1716153621673584, 'plus': 0.21030497550964355}
{'rand': 0.16913485527038574, 'plus': 0.18103957176208496}
{'rand': 0.20236802101135254, 'plus': 0.22964692115783691}
{'rand': 0.2117924690246582, 'plus': 0.2127838134765625}
{'rand': 0.17905497550964355, 'plus': 0.2678389549255371}
